"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001gVYAQ","false","0jiVY00000001gVYAQ","false","false","false","false","false","false"
"0jiVY00000002BcYAI","false","0jiVY00000002BcYAI","false","false","false","false","false","false"
"0jiVY00000002LvYAI","false","0jiVY00000002LvYAI","false","false","false","false","false","false"
"0jiVY000000021EYAQ","false","0jiVY000000021EYAQ","false","false","false","false","false","false"
"0jiVY00000001LqYAI","false","0jiVY00000001LqYAI","false","false","false","false","false","false"
"0jiVY00000001qwYAA","false","0jiVY00000001qwYAA","false","false","false","false","false","false"
"0jiVY00000001gWYAQ","false","0jiVY00000001gWYAQ","false","false","false","false","false","false"
"0jiVY00000002BdYAI","false","0jiVY00000002BdYAI","false","false","false","false","false","false"
"0jiVY00000002jVYAQ","false","0jiVY00000002jVYAQ","false","false","false","false","false","false"
"0jiVY00000002LwYAI","false","0jiVY00000002LwYAI","false","false","false","false","false","false"
"0jiVY000000021FYAQ","false","0jiVY000000021FYAQ","false","false","false","false","false","false"
"0jiVY00000001LrYAI","false","0jiVY00000001LrYAI","false","false","false","false","false","false"
"0jiVY00000001r4YAA","false","0jiVY00000001r4YAA","false","false","false","false","false","false"
"0jiVY00000001geYAA","false","0jiVY00000001geYAA","false","false","false","false","false","false"
"0jiVY00000001WGYAY","false","0jiVY00000001WGYAY","false","false","false","false","false","false"
"0jiVY000000021NYAQ","false","0jiVY000000021NYAQ","false","false","false","false","false","false"
"0jiVY00000001LzYAI","false","0jiVY00000001LzYAI","false","false","false","false","false","false"
"0jiVY00000001r5YAA","false","0jiVY00000001r5YAA","false","false","false","false","false","false"
"0jiVY00000001gfYAA","false","0jiVY00000001gfYAA","false","false","false","false","false","false"
"0jiVY00000002BmYAI","false","0jiVY00000002BmYAI","false","false","false","false","false","false"
"0jiVY00000002jzYAA","false","0jiVY00000002jzYAA","false","false","false","false","false","false"
"0jiVY00000002M5YAI","false","0jiVY00000002M5YAI","false","false","false","false","false","false"
"0jiVY000000021OYAQ","false","0jiVY000000021OYAQ","false","false","false","false","false","false"
"0jiVY00000001M0YAI","false","0jiVY00000001M0YAI","false","false","false","false","false","false"
"0jiVY000000037ZYAQ","false","0jiVY000000037ZYAQ","false","false","false","false","false","false"
"0jiVY00000001r7YAA","false","0jiVY00000001r7YAA","false","false","false","false","false","false"
"0jiVY00000001ghYAA","false","0jiVY00000001ghYAA","false","false","false","false","false","false"
"0jiVY00000002BoYAI","false","0jiVY00000002BoYAI","false","false","false","false","false","false"
"0jiVY00000002M7YAI","false","0jiVY00000002M7YAI","false","false","false","false","false","false"
"0jiVY000000021QYAQ","false","0jiVY000000021QYAQ","false","false","false","false","false","false"
"0jiVY00000001M2YAI","false","0jiVY00000001M2YAI","false","false","false","false","false","false"
"0jiVY00000001r8YAA","false","0jiVY00000001r8YAA","false","false","false","false","false","false"
"0jiVY00000001giYAA","false","0jiVY00000001giYAA","false","false","false","false","false","false"
"0jiVY00000002BpYAI","false","0jiVY00000002BpYAI","false","false","false","false","false","false"
"0jiVY00000002jQYAQ","false","0jiVY00000002jQYAQ","false","false","false","false","false","false"
"0jiVY00000002M8YAI","false","0jiVY00000002M8YAI","false","false","false","false","false","false"
"0jiVY000000021RYAQ","false","0jiVY000000021RYAQ","false","false","false","false","false","false"
